iter	RMSE
0	0.9809147215
1	0.960447055
2	0.9408457686
3	0.9219475972
4	0.9038786465
5	0.8863416806
6	0.869675427
7	0.8536557228
8	0.8382071511
9	0.8234719652
10	0.809237681
11	0.7958078857
12	0.7828312955
13	0.7704812235
14	0.7585166706
15	0.747105246
16	0.736157859
17	0.7258008991
18	0.715782464
19	0.7063743811
20	0.6971991757
21	0.688542286
22	0.6802308075
23	0.6722239619
24	0.6646296502
25	0.6574923723
26	0.6505703692
27	0.6439306444
28	0.6378181777
29	0.6318004168
30	0.6261994096
31	0.6207307291
32	0.6155938384
33	0.610755626
34	0.6061858969
35	0.601831056
36	0.5976402127
37	0.593769861
38	0.5900404611
39	0.5864384217
40	0.5830670444
41	0.5798785918
42	0.5768407296
43	0.5739398074
44	0.5711991348
45	0.5686233158
46	0.5661432821
47	0.5637621454
48	0.5615293739
49	0.5593629413
50	0.5573587678
51	0.5554708913
52	0.5536686911
53	0.5519550772
54	0.5503480361
55	0.5487998169
56	0.5473747525
57	0.5460380237
58	0.5447392516
59	0.5434946392
60	0.5422976257
61	0.5411737261
62	0.5400444599
63	0.5390570863
64	0.538066914
65	0.5371013268
66	0.5362760323
67	0.5354185912
68	0.5346663151
69	0.5339501702
70	0.5332238586
71	0.5325961147
72	0.5318995608
73	0.5313290836
74	0.5307105236
75	0.5301145809
76	0.5296072939
77	0.5291239657
78	0.5286670227
79	0.5281423798
80	0.5277133752
81	0.5273480535
82	0.5269670464
83	0.5265957926
84	0.5262604677
85	0.5259019616
86	0.5255460225
87	0.5251853798
88	0.5248493264
89	0.524564809
90	0.5242903752
91	0.5240504722
92	0.5238018852
93	0.5235413251
94	0.5233085538
95	0.522988638
96	0.5227454172
97	0.5224761734
98	0.5223248669
99	0.5220442604
100	0.5217512105
101	0.521531135
102	0.5213950069
103	0.5211420573
104	0.520920175
105	0.5207336305
106	0.5205355218
107	0.5203784264
108	0.5201316826
109	0.5199562979
110	0.519707599
111	0.5195788671
112	0.5194521746
113	0.5192717843
114	0.5191298676
115	0.5189543384
116	0.5188511543
117	0.5187422984
118	0.5185665651
119	0.5184375095
120	0.5183162865
