iter	Passed	Remaining
0	38	23218
1	76	23164
2	110	22276
3	144	21912
4	173	20926
5	205	20623
6	234	20181
7	265	19948
8	297	19802
9	325	19526
10	356	19372
11	385	19187
12	416	19113
13	446	18963
14	474	18790
15	505	18719
16	535	18632
17	567	18636
18	596	18519
19	626	18444
20	656	18395
21	686	18317
22	716	18255
23	746	18190
24	776	18133
25	808	18126
26	836	18038
27	866	17989
28	895	17903
29	926	17881
30	956	17838
31	988	17817
32	1018	17774
33	1048	17735
34	1077	17671
35	1106	17612
36	1136	17568
37	1167	17545
38	1198	17521
39	1228	17475
40	1260	17457
41	1290	17415
42	1319	17372
43	1350	17340
44	1381	17309
45	1410	17257
46	1439	17217
47	1469	17169
48	1499	17137
49	1529	17101
50	1559	17063
51	1590	17031
52	1619	16990
53	1648	16941
54	1675	16879
55	1708	16868
56	1738	16833
57	1770	16816
58	1800	16788
59	1833	16775
60	1863	16740
61	1892	16698
62	1923	16671
63	1954	16642
64	1984	16606
65	2013	16567
66	2042	16524
67	2074	16500
68	2103	16458
69	2131	16415
70	2160	16370
71	2190	16336
72	2220	16300
73	2249	16261
74	2279	16227
75	2309	16199
76	2341	16178
77	2372	16150
78	2403	16124
79	2434	16099
80	2463	16059
81	2493	16027
82	2522	15988
83	2551	15945
84	2582	15919
85	2612	15885
86	2641	15849
87	2671	15814
88	2702	15787
89	2731	15749
90	2761	15721
91	2791	15685
92	2820	15650
93	2849	15613
94	2879	15581
95	2909	15548
96	2942	15530
97	2971	15496
98	3002	15466
99	3033	15441
100	3064	15413
101	3097	15394
102	3127	15363
103	3156	15328
104	3186	15295
105	3215	15258
106	3244	15221
107	3272	15182
108	3303	15154
109	3334	15124
110	3365	15099
111	3394	15062
112	3424	15032
113	3455	15003
114	3484	14968
115	3515	14940
116	3548	14923
117	3581	14904
118	3612	14874
119	3643	14847
120	3674	14821
121	3704	14787
122	3737	14766
123	3766	14732
124	3795	14695
125	3825	14663
126	3855	14633
127	3888	14611
128	3918	14579
129	3946	14543
130	3976	14509
131	4005	14474
132	4034	14438
133	4063	14403
134	4093	14373
135	4129	14361
136	4161	14336
137	4192	14307
138	4224	14283
139	4252	14247
140	4282	14214
141	4312	14181
142	4340	14145
143	4372	14118
144	4401	14085
145	4432	14056
146	4462	14024
147	4491	13990
148	4521	13958
149	4552	13930
150	4581	13897
151	4611	13863
152	4640	13831
153	4670	13799
154	4702	13772
155	4734	13748
156	4766	13721
157	4797	13694
158	4826	13661
159	4858	13632
160	4886	13596
161	4914	13559
162	4943	13526
163	4975	13499
164	5006	13471
165	5037	13442
166	5065	13407
167	5096	13377
168	5126	13345
169	5156	13316
170	5186	13285
171	5216	13252
172	5247	13223
173	5275	13188
174	5306	13160
175	5335	13127
176	5365	13096
177	5395	13064
178	5426	13035
179	5457	13007
180	5486	12974
181	5517	12944
182	5546	12912
183	5575	12877
184	5605	12847
185	5635	12816
186	5670	12796
187	5701	12767
188	5732	12738
189	5762	12706
190	5790	12672
191	5820	12640
192	5853	12615
193	5883	12585
194	5916	12561
195	5948	12534
196	5977	12502
197	6008	12473
198	6041	12446
199	6043	12358
200	6075	12332
201	6111	12313
202	6146	12292
203	6180	12270
204	6213	12245
205	6244	12216
206	6275	12188
207	6307	12160
208	6337	12129
209	6366	12096
210	6396	12064
211	6426	12034
212	6455	12001
213	6485	11970
214	6516	11942
215	6547	11912
216	6578	11883
217	6610	11855
218	6641	11827
219	6672	11797
220	6700	11763
221	6730	11732
222	6759	11700
223	6789	11669
224	6819	11638
225	6849	11608
226	6881	11580
227	6910	11548
228	6939	11516
229	6969	11484
230	6998	11451
231	7025	11416
232	7056	11386
233	7086	11357
234	7119	11330
235	7152	11304
236	7185	11277
237	7216	11248
238	7245	11217
239	7275	11185
240	7303	11152
241	7333	11121
242	7364	11092
243	7394	11061
244	7424	11030
245	7455	11001
246	7486	10972
247	7517	10942
248	7546	10910
249	7577	10880
250	7606	10848
251	7635	10817
252	7666	10787
253	7700	10762
254	7731	10733
255	7763	10704
256	7795	10677
257	7828	10650
258	7860	10622
259	7889	10590
260	7919	10559
261	7949	10528
262	7979	10497
263	8010	10467
264	8040	10437
265	8071	10408
266	8102	10377
267	8131	10346
268	8160	10314
269	8191	10284
270	8221	10254
271	8252	10224
272	8283	10194
273	8314	10165
274	8346	10136
275	8375	10105
276	8405	10074
277	8436	10044
278	8466	10013
279	8494	9981
280	8523	9949
281	8553	9918
282	8583	9887
283	8614	9857
284	8643	9826
285	8672	9794
286	8700	9761
287	8730	9730
288	8760	9700
289	8790	9669
290	8820	9639
291	8849	9607
292	8879	9576
293	8909	9545
294	8940	9516
295	8971	9486
296	9001	9455
297	9031	9425
298	9061	9394
299	9091	9364
300	9121	9333
301	9149	9301
302	9180	9271
303	9210	9240
304	9238	9208
305	9268	9177
306	9298	9147
307	9331	9119
308	9361	9089
309	9392	9058
310	9422	9028
311	9452	8997
312	9484	8969
313	9516	8940
314	9548	8911
315	9579	8881
316	9610	8852
317	9641	8822
318	9671	8792
319	9700	8760
320	9728	8728
321	9756	8696
322	9787	8666
323	9818	8636
324	9848	8606
325	9879	8576
326	9911	8547
327	9940	8516
328	9969	8484
329	9998	8453
330	10028	8422
331	10058	8391
332	10091	8364
333	10121	8333
334	10153	8304
335	10185	8275
336	10214	8244
337	10245	8214
338	10273	8182
339	10302	8151
340	10332	8120
341	10365	8092
342	10394	8060
343	10423	8029
344	10453	7998
345	10483	7968
346	10513	7937
347	10543	7907
348	10573	7877
349	10615	7855
350	10646	7825
351	10683	7800
352	10716	7771
353	10747	7741
354	10778	7712
355	10809	7681
356	10839	7651
357	10870	7621
358	10901	7591
359	10930	7560
360	10961	7530
361	10991	7499
362	11021	7469
363	11051	7438
364	11081	7407
365	11109	7376
366	11140	7345
367	11168	7314
368	11200	7284
369	11228	7253
370	11258	7222
371	11290	7193
372	11322	7163
373	11353	7133
374	11385	7104
375	11416	7074
376	11445	7043
377	11474	7012
378	11505	6982
379	11535	6951
380	11566	6921
381	11597	6891
382	11626	6860
383	11656	6830
384	11688	6800
385	11717	6769
386	11746	6738
387	11775	6707
388	11806	6677
389	11835	6646
